TAG, LENGTH, PHI, COLLIMATOR_LENGTH, COLLIMATOR_AREA, MINUTE, HIT_CUT, CENTER, ROI, ROI_THETA, RAW_FILE, MASKED_FILE, MASK_PIXEL_FILE, OUTPUT_DIRECTORY
L1F2O, 1, 2, 1, 0.97, 140, 160, 522 312, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1F2O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1F2O
L1F2X, 1, 2, 1, 0.97, 140, 160, 524 298, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1F2X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1F2X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1F2X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1F2X
L1F3O, 1, 3, 1, 4.6, 28, 160, 528 319, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1F3O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1F3O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1F3O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1F3O
L1F3X, 1, 3, 1, 4.6, 28, 160, 521 312, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1F3X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1F3X
L1F4O, 1, 4, 1, 10.5, 12, 160, 512 294, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1F4O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1F4O
L1F4X, 1, 4, 1, 10.5, 12, 160, 523 304, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1F4X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1F4X
L1REFO, 1, 11, 1, 0, 10, 160, 540 311, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1REFO
L1REFX, 1, 11, 1, 0, 10, 160, 543 296, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL1REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL1REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL1REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL1REFX
L3F2O, 3, 2, 3, 1.09, 194, 160, 545 282, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3F2O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3F2O
L3F2X, 3, 2, 3, 1.09, 194, 160, 525 322, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3F2X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3F2X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3F2X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3F2X
L3F3O, 3, 3, 3, 5.5, 25, 160, 554 308, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3F3O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3F3O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3F3O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3F3O
L3F3X, 3, 3, 3, 5.5, 25, 160, 542 310, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3F3X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3F3X
L3F4O, 3, 4, 3, 10.4, 11, 160, 567 308, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3F4O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3F4O
L3F4X, 3, 4, 3, 10.4, 11, 160, 560 319, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3F4X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3F4X
L3REFO, 3, 11, 3, 0, 10, 160, 550 294, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3REFO
L3REFX, 3, 11, 3, 0, 10, 160, 540 300, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL3REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL3REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL3REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL3REFX
L7F2O, 7, 2, 7, 0.62, 970, 160, 480 294, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7F2O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7F2O
L7F2X, 7, 2, 7, 0.62, 970, 160, 543 297, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7F2X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7F2X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7F2X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7F2X
L7F3O, 7, 3, 7, 6.1, 61, 160, 540 300, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7F3O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7F3O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7F3O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7F3O
L7F3X, 7, 3, 7, 6.1, 61, 160, 539 308, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7F3X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7F3X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7F3X
L7F4O, 7, 4, 7, 10.3, 20, 160, 535 323, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7F4O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7F4O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7F4O
L7F4X, 7, 4, 7, 10.3, 20, 160, 548 315, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7F4X.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7F4X.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7F4X
L7REFO, 7, 11, 7, 0, 10, 160, 582 269, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7REFO.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7REFO.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7REFO
L7REFX, 7, 11, 7, 0, 10, 160, 580 273, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL7REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL7REFX.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL7REFX.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL7REFX
L20F2O, 20, 2, 20, 1.17, 360, 90, 504.9 279.8, 10000 10000, 0, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/RAW/EL20F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/PREMASK/EL20F2O.root, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/MASK_PIXEL/EL20F2O.txt, /mnt/homes/ychoi/CLUSTER_SIZE/EXPERIMENT/ANALYSIS/EL20F2O
